Test Year,Selected Candidate,Training Start,Training End,Training Robust Score,Training Full Sharpe
2016,Lookback 252,2012-02-01,2015-12-31,0.635493518524046,0.7911781488475869
2017,Lookback 252,2012-02-01,2016-12-30,0.4572047084276638,0.31534062559841075
2018,Lookback 126,2012-02-01,2017-12-29,0.8177707853353314,0.976292675695185
2019,Lookback 126,2012-02-01,2018-12-31,0.7383313403380467,0.7805879467235511
2020,Lookback 63,2012-02-01,2019-12-31,0.5994382069879566,0.6184077474251138
2021,Lookback 189,2012-02-01,2020-12-31,0.6157406452155871,0.6697033918149566
2022,Lookback 126,2012-02-01,2021-12-31,0.7300829399094553,0.5439255997849485
2023,Lookback 189,2012-02-01,2022-12-30,0.5115649662341147,0.5452092402091503
2024,Lookback 252,2012-02-01,2023-12-29,0.6343883162801266,0.6274639550119857
2025,Lookback 252,2012-02-01,2024-12-31,0.6916157709680085,0.6844441204791076
2026,Lookback 252,2012-02-01,2025-12-31,0.7159453387282175,0.8026214789418727
