,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value
"150/200/250 ensemble, 25% QQQ floor",0.17873464536691785,0.1659203063674706,1.0746956337910858,1.3394896799161802,-0.23412479299185351,0.7634161383887994,0.404611507950867,-0.19023605719435877,0.18269228832232462,125.0,11.995430312261995,7.8690022848438685,554881.9132351009
"200-day SMA, 25% QQQ floor",0.17686374695000762,0.16721233898556237,1.0581900194835492,1.3073653557425942,-0.23412479299185374,0.7554251076525736,0.41780603825106066,-0.1979389245172336,0.18204419336595434,53.0,5.086062452399086,7.581111957349581,545772.6271044492
"150/200/250 ensemble, 50% QQQ floor",0.188858183607036,0.17905488665224084,1.0563073521273711,1.3607444704235434,-0.2552437313359135,0.7399131121402124,0.4431254156339173,-0.23364622104940125,0.1954303732335423,125.0,11.995430312261995,5.277989337395278,606600.6057128498
"200-day SMA, 50% QQQ floor",0.18765280496093184,0.17960601814748944,1.0479756085322887,1.34406051100522,-0.26246567085836314,0.7149613294082818,0.4604502709797964,-0.23842213918850996,0.19507630153576241,53.0,5.086062452399086,5.086062452399086,600222.1238922396
"150/200/250 ensemble, 0% QQQ floor",0.16707051277297968,0.16058561851228656,1.0429991550139337,1.2096018494879839,-0.22001438359858294,0.7593617746274283,0.36861435659603625,-0.14944262175945577,0.1692071608808128,125.0,11.995430312261995,10.46001523229246,500258.34825934784
Binary 200-day Trend,0.16449757526234499,0.16291158404279973,1.0168836753213648,1.1617273710832683,-0.22265840706287088,0.7387889702089563,0.37608693727151365,-0.16041475674065342,0.168195082806073,53.0,5.086062452399086,10.076161462300076,488884.2945221939
"200-day SMA, 0% QQQ floor",0.16449757526234499,0.16291158404279973,1.0168836753213648,1.1617273710832683,-0.22265840706287088,0.7387889702089563,0.37608693727151365,-0.16041475674065342,0.168195082806073,53.0,5.086062452399086,10.076161462300076,488884.2945221939
"150/200/250 ensemble, 75% QQQ floor",0.19740018893314115,0.1984466023389874,1.0076270152422033,1.302129962967871,-0.30288601506984214,0.6517309453446468,0.49509123123697174,-0.27903576889074955,0.20743632360342776,125.0,11.995430312261995,2.686976389946687,653587.0137008221
"200-day SMA, 75% QQQ floor",0.1968197091139825,0.1985831074201812,1.0046324013713985,1.2965441362229713,-0.30623606217163624,0.6427058515520974,0.5040301588269298,-0.2812422776779119,0.20730004992006282,53.0,5.086062452399086,2.591012947448591,650292.783748233
QQQ Buy & Hold,0.20432369896852087,0.22246517188674594,0.9474890842769423,1.2068088974506712,-0.3511872359927688,0.5818084429831841,0.5485560683330362,-0.3257702382506106,0.21872819468112284,1.0,0.09596344249809596,0.09596344249809596,694057.9754900106
