,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Best Year,Worst Year,Average Yearly Return,Number of Trades,Average Trades per Year,Average Annual Turnover,Final Portfolio Value,BeatsQQQ
"Vol-Adj Ensemble, 100% max floor, 10%/35% vol",0.18076756047275144,0.16115089368940622,1.1122913377747916,1.4019387681903208,-0.21821804905544429,0.8283804261618272,0.39233036645604535,-0.1915060614533849,0.17275849707172428,570.0,39.52669235002752,5.5607650513142355,1098137.3332232912,True
"Vol-Adj Ensemble, 75% max floor, 10%/35% vol",0.176737631345101,0.15846856578916368,1.1068247152634643,1.3845061949957254,-0.21864348057778227,0.8083370740259814,0.3800068645258168,-0.18090338567742503,0.1688948404576917,570.0,39.52669235002752,6.823022880395418,1045310.5068900774,True
"Vol-Adj Ensemble, 75% max floor, 12%/40% vol",0.17938763652735812,0.1609592650183353,1.1061517342621943,1.408292366002596,-0.22362271631245645,0.802188791395902,0.40269068259841756,-0.20423468004460466,0.17213492229666125,647.0,44.86626307099615,5.959577763458191,1079774.9471825324,True
"Vol-Adj Ensemble, 100% max floor, 12%/40% vol",0.18413399870656733,0.16533799660706722,1.105480934771685,1.4206728796571753,-0.24391142818625355,0.7549215716368997,0.4228660555089605,-0.22268456081190946,0.17704343977188064,647.0,44.86626307099615,4.409504895397934,1144160.2901983955,True
"150/200/250 ensemble, 25% QQQ floor",0.17594958557592344,0.15842908920666285,1.1028259440917234,1.4036730589255295,-0.2341247929918533,0.7515205174449245,0.404611507950867,-0.19023605719435877,0.16927693022399753,179.0,12.412768299394607,7.974683544303797,1035260.8580474916,True
"Vol-Adj Ensemble, high vol 75% floor",0.18212657838903268,0.1643590839432246,1.100753508289053,1.4205184770790205,-0.2423458759347462,0.7515150719464765,0.4238503390366153,-0.22130625729837472,0.17519590278479874,628.0,43.548706659328566,5.032242258042685,1116505.2129908619,True
"Vol-Adj Ensemble, 75% max floor, 15%/45% vol",0.18212657838903268,0.1643590839432246,1.100753508289053,1.4205184770790205,-0.2423458759347462,0.7515150719464765,0.4238503390366153,-0.22130625729837472,0.17519590278479874,628.0,43.548706659328566,5.032242258042685,1116505.2129908619,True
"Vol-Adj Ensemble, 50% max floor, 15%/45% vol",0.1764018937821894,0.15920761288427962,1.1006281640072035,1.3991256297899541,-0.22387960316396982,0.787931956682058,0.3966650368125224,-0.19703853421166495,0.16925836999672292,628.0,43.548706659328566,6.891426961241446,1041017.9238674921,True
"Vol-Adj Ensemble, 50% max floor, 12%/40% vol",0.17445474932052218,0.1575782112191911,1.0998521680618862,1.3815132850589087,-0.22153428183309798,0.7874842118203398,0.3827511423393475,-0.18586071066759347,0.16717863968201047,647.0,44.86626307099615,7.509650631518449,1016444.3827304165,True
"Vol-Adj Ensemble, low vol 50% floor",0.17333133852398963,0.15669683193303346,1.0990435397870275,1.3639995949358061,-0.21900681749220807,0.7914426615059894,0.3703822987342078,-0.17218515786204502,0.16567986148723596,570.0,39.52669235002752,7.86575760876683,1002513.3020346352,True
