Test Year,Selected Candidate,Training Start,Training End,Training Robust Score,Training Full Sharpe
2016,"200-day SMA, 75% QQQ floor",2011-10-18,2015-12-31,0.5471365047980941,1.1490943887472527
2017,"200-day SMA, 75% QQQ floor",2011-10-18,2016-12-30,0.7837028385110079,1.0173041480309242
2018,"200-day SMA, 75% QQQ floor",2011-10-18,2017-12-29,1.2163908454281358,1.2197542602140556
2019,"200-day SMA, 50% QQQ floor",2011-10-18,2018-12-31,0.7523617028326858,0.9537101423335923
2020,"200-day SMA, 75% QQQ floor",2011-10-18,2019-12-31,0.9752875947959178,1.1071718775664583
2021,"200-day SMA, 75% QQQ floor",2011-10-18,2020-12-31,0.9758814324129426,1.1082520065418475
2022,"200-day SMA, 75% QQQ floor",2011-10-18,2021-12-31,1.0540739492088407,1.1397897389061682
2023,"200-day SMA, 75% QQQ floor",2011-10-18,2022-12-30,0.7246500429320429,0.8537844569990769
2024,"200-day SMA, 25% QQQ floor",2011-10-18,2023-12-29,1.0154075310536101,0.9918358592450013
2025,"200-day SMA, 25% QQQ floor",2011-10-18,2024-12-31,1.0262069159340492,1.0223387498382805
2026,"200-day SMA, 0% QQQ floor",2011-10-18,2025-12-31,0.9787586688479799,0.9772871197016425
