Test Year,Selected Candidate,Training Start,Training End,Training Robust Score,Training Full Sharpe
2016,"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",2011-12-29,2015-12-31,1.020344072469929,1.3052109411396042
2017,"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",2011-12-29,2016-12-30,1.076982965790747,1.1294567632739017
2018,"Vol-Adj Ensemble, 50% max floor, 12%/40% vol",2011-12-29,2017-12-29,1.2631774654829628,1.2796809762609296
2019,"Vol-Adj Ensemble, 50% max floor, 10%/35% vol",2011-12-29,2018-12-31,0.8714114816066616,1.0422956888038353
2020,"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",2011-12-29,2019-12-31,0.8312096135893664,1.1878644379065497
2021,"Vol-Adj Ensemble, 75% max floor, 15%/45% vol",2011-12-29,2020-12-31,0.9361077468718803,1.1633706270923756
2022,"Vol-Adj Ensemble, 75% max floor, 15%/45% vol",2011-12-29,2021-12-31,1.0083098684474403,1.1915319035878882
2023,"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",2011-12-29,2022-12-30,0.9844881296222981,0.9512190122024738
2024,"Vol-Adj Ensemble, 50% max floor, 10%/35% vol",2011-12-29,2023-12-29,0.9736275422139192,1.0672490471846148
2025,"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",2011-12-29,2024-12-31,1.0147296863413777,1.0871544108415718
2026,"Vol-Adj Ensemble, 100% max floor, 15%/45% vol",2011-12-29,2025-12-31,1.0862838693998733,1.0616924076918888
