Test Year,Selected Candidate,Training Start,Training End,Training Robust Score,Training Full Sharpe
2016,"Lookback 21, Target 10%",2011-08-01,2015-12-31,0.6716520315289608,1.0302221142585426
2017,"Lookback 21, Target 10%",2011-08-01,2016-12-30,0.9357094790815259,0.920762369177861
2018,"Lookback 21, Target 20%",2011-08-01,2017-12-29,1.1810416076875674,1.1547688015693691
2019,"Lookback 21, Target 10%",2011-08-01,2018-12-31,1.0407022634027023,1.0256632477211445
2020,"Lookback 21, Target 15%",2011-08-01,2019-12-31,1.1142542868540972,1.1049817813507623
2021,"Lookback 126, Target 10%",2011-08-01,2020-12-31,1.0717515634022248,0.9868648943660144
2022,"Lookback 21, Target 20%",2011-08-01,2021-12-31,1.114823873435539,1.1093321132784693
2023,"Lookback 21, Target 10%",2011-08-01,2022-12-30,0.7995728479460701,0.8991475738549607
2024,"Lookback 21, Target 20%",2011-08-01,2023-12-29,1.0196742103129781,0.9996972058142483
2025,"Lookback 21, Target 10%",2011-08-01,2024-12-31,1.0330493788213908,1.0469826295275808
2026,"Lookback 21, Target 10%",2011-08-01,2025-12-31,1.055786058920882,1.0514036112036362
