Test Year,Selected Candidate,Training Start,Training End,Training Robust Score,Training Full Sharpe
2016,SMA 150,2012-03-13,2015-12-31,0.20024385839256942,0.7909774011215326
2017,SMA 300,2012-03-13,2016-12-30,0.7036473439432616,0.7571728161406233
2018,SMA 300,2012-03-13,2017-12-29,1.0377638785563517,1.0265395682249756
2019,SMA 250,2012-03-13,2018-12-31,0.6944747778220604,0.8058730612355965
2020,SMA 200,2012-03-13,2019-12-31,0.8914446930215526,0.8870587380769781
2021,SMA 200,2012-03-13,2020-12-31,0.8798888568494997,0.9433947641474726
2022,SMA 150,2012-03-13,2021-12-31,1.016195465231962,1.0200620186466394
2023,SMA 150,2012-03-13,2022-12-30,0.8790809158492066,0.889942059450076
2024,SMA 150,2012-03-13,2023-12-29,0.9752800118476317,1.0037430562182839
2025,SMA 250,2012-03-13,2024-12-31,0.9599735607789386,0.9456560363353564
2026,SMA 150,2012-03-13,2025-12-31,1.051367583187994,1.0193811706008504
